용궁시장,상설장+5일장,경상북도 예천군 용궁면 용궁시장길 9,경상북도 예천군 용궁면 읍부리 329-3,30,,Y,,2022-07-06
풍양시장,5일장,경상북도 예천군 풍양면 낙상2길 37-13,경상북도 예천군 풍양면 낙상리 157-7,48,,Y,,2022-07-06
울진바지게시장,상설장+5일장,경상북도 울진군 울진읍 읍내2길 13-6,경상북도 울진군 울진읍 읍내리 63,252,,Y,054-783-2988,2022-07-06
죽변시장,상설장+5일장,경상북도 울진군 죽변면 죽변중앙로 168-14,경상북도 울진군 죽변면 죽변리 36-8,64,,Y,,2022-07-06
평해시장,상설장+5일장,경상북도 울진군 평해읍 평해6길 12,경상북도 울진군 평해읍 평해리 879-3,29,,Y,,2022-07-06
후포시장,상설장+5일장,경상북도 울진군 후포면 울진대게로 21,경상북도 울진군 후포면 삼율리 126,124,,Y,,2022-07-06
금성시장,5일장,경상북도 의성군 금성면 탑리길 56-1,경상북도 의성군 금성면 대리리 66-7,61,,Y,,2022-07-06
단촌정기시장,5일장,경상북도 의성군 단촌면 장터길 15,경상북도 의성군 단촌면 하화리 1097-9,61,,Y,,2022-07-06
봉양시장,5일장,경상북도 의성군 봉양면 도리원6길 9-1,경상북도 의성군 봉양면 화전리 99-5,44,,N,054-833-1026,2022-07-06
안계공설시장,상설장+5일장,경상북도 의성군 안계면 안계시장길 14-11,경상북도 의성군 안계면 용기리 467-1,117,,Y,,2022-07-06
의성공설재래시장,상설장+5일장,경상북도 의성군 의성읍 전통시장1길 12-8,경상북도 의성군 의성읍 도동리 758-4,92,,Y,054-834-2553,2022-07-06
의성염매시장,상설장,경상북도 의성군 의성읍 염매시장길 5,경상북도 의성군 의성읍 후죽리 688-6,37,,Y,,2022-07-06
동곡공설시장,5일장,경상북도 청도군 금천면 금천로 41-2,경상북도 청도군 금천면 동곡리 787-8,63,,Y,,2022-07-06
이서공설시장,5일장,경상북도 청도군 이서면 학산1길 51,경상북도 청도군 이서면 학산리 580-2,17,,Y,,2022-07-06
청도공설시장,5일장,경상북도 청도군 청도읍 청화로 175,경상북도 청도군 청도읍 고수리 785-3,189,,Y,,2022-07-06
풍각공설시장,5일장,경상북도 청도군 풍각면 송서7길 10,경상북도 청도군 풍각면 송서리 569-10,67,,Y,054-373-5158,2022-07-06
도평시장,상설장+5일장,경상북도 청송군 현동면 도평2길 21,경상북도 청송군 현동면 도평리 839-103,26,,Y,,2022-07-06
부남시장,5일장,경상북도 청송군 부남면 대전로 142,경상북도 청송군 부남면 대전리 64-16,57,,Y,,2022-07-06
진보시장,상설장+5일장,경상북도 청송군 진보면 진안남2길 9-1,경상북도 청송군 진보면 진안리 121-3,110,,Y,054-872-5915,2022-07-06
청송시장,상설장+5일장,경상북도 청송군 청송읍 현충로 106,경상북도 청송군 청송읍 월막리 498-9,8,,Y,,2022-07-06
화목시장,5일장,경상북도 청송군 현서면 구산북로 57-1,경상북도 청송군 현서면 구산리 101,20,,Y,,2022-07-06
